Danilo,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/41588.png&w=64&h=64&output=webp&q=60
Mitchel Bakker,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/144656.png&w=64&h=64&output=webp&q=60
Tajon Buchanan,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/307432.png&w=64&h=64&output=webp&q=60
Juan David Cabal,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/329049.png&w=64&h=64&output=webp&q=60
Dylan Bronn,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/130483.png&w=64&h=64&output=webp&q=60
Mattia De Sciglio,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/11320.png&w=64&h=64&output=webp&q=60
Dodô,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/110932.png&w=64&h=64&output=webp&q=60
Zeki Çelik,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/142518.png&w=64&h=64&output=webp&q=60
Fabien Centonze,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/72898.png&w=64&h=64&output=webp&q=60
Davide Calabria,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/52497.png&w=64&h=64&output=webp&q=60
Danilo D'Ambrosio,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/5400.png&w=64&h=64&output=webp&q=60
Libby Cacace,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/155537.png&w=64&h=64&output=webp&q=60
Davide Biraschi,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/75931.png&w=64&h=64&output=webp&q=60
Patrick Dorgu,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/545195.png&w=64&h=64&output=webp&q=60
Giovanni Bonfanti,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Bartosz Bereszyński,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/16097.png&w=64&h=64&output=webp&q=60
Tommaso Corazza,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/508961.png&w=64&h=64&output=webp&q=60
Cristiano Biraghi,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/15171.png&w=64&h=64&output=webp&q=60
Victor Bernth Kristiansen,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/310266.png&w=64&h=64&output=webp&q=60
Andrea Carboni,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/375077.png&w=64&h=64&output=webp&q=60
Tommaso Augello,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/146045.png&w=64&h=64&output=webp&q=60
Alessandro Bastoni,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/112989.png&w=64&h=64&output=webp&q=60
Luca Caldirola,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/5353.png&w=64&h=64&output=webp&q=60
Bruno Amione,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/220900.png&w=64&h=64&output=webp&q=60
Flavius Daniliuc,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/159990.png&w=64&h=64&output=webp&q=60
Koni De Winter,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/361427.png&w=64&h=64&output=webp&q=60
Silvan Hefti,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/82676.png&w=64&h=64&output=webp&q=60
Paulo Dentello,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Giulio Donati,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/5457.png&w=64&h=64&output=webp&q=60
Elseid Hysaj,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/15275.png&w=64&h=64&output=webp&q=60
Alejandro Jiménez,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/521840.png&w=64&h=64&output=webp&q=60
Lorenzo De Silvestri,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/5584.png&w=64&h=64&output=webp&q=60
Armando Izzo,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/3540.png&w=64&h=64&output=webp&q=60
Valentin Gendrey,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/224229.png&w=64&h=64&output=webp&q=60
Rick Karsdorp,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/24610.png&w=64&h=64&output=webp&q=60
Alessandro Dellavalle,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Berat Djimsiti,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/22929.png&w=64&h=64&output=webp&q=60
Alessandro Florenzi,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/12228.png&w=64&h=64&output=webp&q=60
João Ferreira,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/242555.png&w=64&h=64&output=webp&q=60
